UV254(mJ cm-2),HOCl(mg/L),Fe3+ (mg/L),pH,NB (micromolar),MeOH(mM),ONP(mg/L),NO2-(mM),HCO3-(mM),Cl-(mM),SO42-(mM),Kobs (min-1)
1434,10,4.48,3,0,0,15,0,0,0,1,0.0538
1434,10,4.48,3,0,0,15,0,0,0,5,0.0531
1434,10,4.48,3,0,0,15,0,0,0,10,0.0522
1434,10,4.48,3,0,0,15,0,0,0,13,0.0512
1434,10,4.48,3,0,0,15,0,0,0,17,0.0506
1434,10,4.48,3,0,0,15,0,0,0,20,0.0498
1434,10,4.48,3,0,0,15,0,0,0,23,0.0492
1434,10,4.48,3,0,0,5,0,0,0,0,0.25
1434,10,4.48,3,0,0,5,1,0,0,0,0.248
1434,10,4.48,3,0,0,5,3,0,0,0,0.243
1434,10,4.48,3,0,0,5,5,0,0,0,0.231
1434,10,4.48,3,0,0,5,8,0,0,0,0.221
1434,10,4.48,3,0,0,5,12,0,0,0,0.206
1434,10,4.48,3,0,0,5,15,0,0,0,0.194
1434,10,4.48,3,0,0,5,0,1,0,0,0.247
1434,10,4.48,3,0,0,5,0,3,0,0,0.239
1434,10,4.48,3,0,0,5,0,5,0,0,0.232
1434,10,4.48,3,0,0,5,0,8,0,0,0.224
1434,10,4.48,3,0,0,5,0,11,0,0,0.216
1434,10,4.48,3,0,0,5,0,16,0,0,0.207
1434,10,4.48,3,0,0,5,0,0,1,0,0.251
1434,10,4.48,3,0,0,5,0,0,8,0,0.254
1434,10,4.48,3,0,0,5,0,0,15,0,0.255
1434,10,4.48,3,0,0,5,0,0,18,0,0.249
1434,10,4.48,3,0,0,5,0,0,22,0,0.242
1434,10,4.48,3,0,0,5,0,0,0,1,0.244
1434,10,4.48,3,0,0,5,0,0,0,5,0.239
1434,10,4.48,3,0,0,5,0,0,0,10,0.235
1434,10,4.48,3,0,0,5,0,0,0,13,0.225
1434,10,4.48,3,0,0,5,0,0,0,17,0.217
1434,10,4.48,3,0,0,5,0,0,0,20,0.211
1434,10,4.48,3,0,0,5,0,0,0,23,0.203
1434,10,4.48,3,16,0,5,0,0,0,0,0.231
1434,10,4.48,3,32,0,5,0,0,0,0,0.199
1434,10,4.48,3,48,0,5,0,0,0,0,0.156
1434,10,4.48,3,64,0,5,0,0,0,0,0.125
1434,10,4.48,3,70,0,5,0,0,0,0,0.119
1434,10,4.48,3,86,0,5,0,0,0,0,0.101
1434,10,4.48,3,100,0,5,0,0,0,0,0.099
1434,10,4.48,3,0,5,5,0,0,0,0,0.238
1434,10,4.48,3,0,10,5,0,0,0,0,0.217
1434,10,4.48,3,0,15,5,0,0,0,0,0.191
1434,10,4.48,3,0,20,5,0,0,0,0,0.178
1434,10,4.48,3,0,25,5,0,0,0,0,0.155
1434,10,4.48,3,0,30,5,0,0,0,0,0.141
